label,value
EnE 270,EnE 270
EnE 272,EnE 272
EnE 280,EnE 280
EnE 283,EnE 283
EnE 296,EnE 296
EnE 300,EnE 300
EnE 303,EnE 303
EnE 305,EnE 305
EnE 382,EnE 382
EnE 400,EnE 400
Eng 1,Eng 1
Eng 11,Eng 11
Eng 12,Eng 12
Eng 13,Eng 13
Eng 21,Eng 21
Eng 22,Eng 22
Eng 23,Eng 23
Eng 30,Eng 30
Eng 42,Eng 42
Eng 100,Eng 100
Eng 101,Eng 101
Eng 104,Eng 104
Eng 106,Eng 106
Eng 116,Eng 116
Eng 118,Eng 118
Eng 120,Eng 120
Eng 127,Eng 127
Eng 131,Eng 131
Eng 143,Eng 143
Eng 147,Eng 147
Eng 158,Eng 158
Eng 197,Eng 197
Eng 200,Eng 200
Eng 204,Eng 204
Eng 207,Eng 207
Eng 208,Eng 208
Eng 210,Eng 210
Eng 233,Eng 233
Eng 299,Eng 299
Eng 300,Eng 300
Eng 310,Eng 310
Eng 316,Eng 316
Eng 371,Eng 371
Env Sci,Env Sci
ES 1,ES 1
ES 12,ES 12
ES 13,ES 13
ES 15,ES 15
ES 26,ES 26
ES 101,ES 101
ES 102,ES 102
ES 201,ES 201
ES 204,ES 204
ES 230,ES 230
Ethics 1,Ethics 1
FA 11,FA 11
FA 13,FA 13
FA 15,FA 15
FA 16,FA 16
FA 17,FA 17
FA 18,FA 18
FA 28,FA 28
FA 30,FA 30
FA 133,FA 133
FA 200,FA 200
FA 202,FA 202
FA 203,FA 203
FA 211,FA 211
FA 213,FA 213
FA 215,FA 215
FA 221,FA 221
FA 233,FA 233
FA 236,FA 236
FA 241,FA 241
FA 300,FA 300
Fil 4,Fil 4
Fil 10.2,Fil 10.2
Fil 18,Fil 18
Fil 20,Fil 20
Fil 30,Fil 30
Fil 40,Fil 40
Fil 50,Fil 50
Fil 104,Fil 104
Fil 128,Fil 128
Fil 155,Fil 155
Fil 180,Fil 180
Fil 198,Fil 198
Fil 200,Fil 200
Fil 203,Fil 203
Fil 208,Fil 208
Fil 225,Fil 225
Fil 245,Fil 245
Fil 281,Fil 281
Fil 290,Fil 290
Fil 298,Fil 298
Fil 299,Fil 299
Fil 300,Fil 300
Fil 350,Fil 350
Fil 353,Fil 353
Fil 381,Fil 381
Fil 387,Fil 387
Fil 400,Fil 400
Film 10,Film 10
Film 12,Film 12
Film 100,Film 100
Film 101,Film 101
Film 102,Film 102
Film 103,Film 103
Film 110,Film 110
Film 112,Film 112
Film 131,Film 131
Film 132,Film 132
Film 133,Film 133
Film 134,Film 134
Film 151,Film 151
Film 153,Film 153
Film 154,Film 154
Film 156,Film 156
Film 157,Film 157
Film 158,Film 158
